model,horizon,mae,mae_sd,rmse,mape,smape,mae_peak,negsens,ramp_viol,n
seasonal_naive,24,1317.8134,,1915.3,11.7128,11.3183,1297.7805,,,1
lstm,24,716.3748,27.295288214451944,967.0666666666666,6.261033333333334,6.2833,756.3772666666667,0.6619999999999999,0.0001,3
tide,24,620.7113666666667,38.7155107088016,881.0,5.667166666666667,5.515466666666666,696.3101333333334,0.6211000000000001,0.00023333333333333336,3
pinn,24,557.4402,18.804064416237214,801.8333333333334,5.043066666666667,4.949133333333333,639.5051,0.010799999999999999,3.3333333333333335e-05,3
pg_tide,24,616.9221333333334,21.437276229580412,877.2333333333332,5.648166666666666,5.509833333333333,706.3821666666666,0.008866666666666667,0.00023333333333333333,3
seasonal_naive,48,1321.0059,,1917.9376,11.7402,11.3446,1301.0313,,,1
